region,category,product,price,quantity,order_date
West,Home,Lamp,18.33,1.0,2025-10-03
South,Home,Lamp,23.88,6.0,2025-01-29
East,Electronics,Camera,600.2,2.0,
North,Electronics,Camera,775.43,3.0,2025-07-01
North,Electronics,Smartphone,590.52,8.0,2025-07-11
East,Sports,Yoga Mat,20.04,9.0,2025-07-23
North,Sports,Bicycle,339.73,6.0,2025-08-02
West,Home,Lamp,12.79,5.0,2025-02-24
South,Home,Lamp,22.86,9.0,2025-11-23
West,Electronics ,Novel,$13.11,7.0,2025-01-23
North,Electronics,Laptop,975.0,1.0,2025-12-04
North,Clothing,Jeans,26.6,7.0,2025-05-21
East,Clothing,Jeans,36.69,5.0,2025-04-20
East,Clothing,Jacket,95.46,1.0,2025-06-07
north ,Electronics,Smartphone,528.15,1.0,2025-08-30
West,Sports,Skipping Rope,8.13,1.0,2025-03-30
East,Books,Textbook,,2.0,2025-10-24
South,Books,Comics,6.91,1.0,2025-08-27
North,Books,Novel,11.66,2.0,
,Home,Curtains,34.4,2.0,2025-03-12
West,Sports,Dumbbells,30.57,8.0,2025-03-15
West,Sports,Skipping Rope,11.28,9.0,2025-11-05
North,Electronics,Headphones,71.19,,2025-06-14
North,Home,Curtains,35.59,7.0,2025-04-12
North,Sports,Skipping Rope,12.98,1.0,2025-11-06
East,Clothing,Jacket,,3.0,2025-09-25
South,Sports,Yoga Mat,19.73,2.0,2025-02-07
West,Home,Curtains,29.83,3.0,2025-01-05
West,Sports,Yoga Mat,11.38,8.0,2025-04-05
North,Books,Textbook,34.85,5.0,2025-04-22
South,Home,Lamp,26.73,5.0,2025-01-30
East,Books,Novel,11.36,8.0,2025-02-21
north ,Clothing,Sneakers,45.53,3.0,2025-04-19
North,Clothing,T-Shirt,15.88,8.0,2025-04-06
South,Sports,Bicycle,449.06,9.0,2025-10-16
East,Books,Novel,18.48,2.0,2025-02-26
South,clothing,Jeans,,5.0,2025-12-12
West,Sports,Skipping Rope,7.21,9.0,2025-09-24
North,Home,Curtains,31.87,9.0,2025-03-07
West,Electronics,Camera,546.29,5.0,2025-05-23
West,Books,Novel,12.81,,2025-12-30
North,Books,Comics,8.82,,2025-06-29
,Electronics,Camera,677.87,9.0,2025-09-02
West,Electronics,Headphones,93.8,3.0,2025-12-30
East,Electronics,Smartphone,957.85,3.0,2025-03-02
East,Books,Textbook,42.0,3.0,2025-02-19
East,Electronics,Smartphone,773.56,7.0,2025-11-30
North,Books,Novel,11.9,9.0,2025-02-21
South,Home,Chair,84.11,7.0,2025-10-24
East,Electronics,Headphones,43.38,1.0,2025-12-16
South,Books,Comics,9.63,9.0,2025-03-24
East,Home,Cookware,57.14,7.0,2025-03-04
South,Electronics,Headphones,80.28,4.0,2025-09-01
South,Clothing,T-Shirt,11.96,3.0,2025-09-01
West,Home,Cookware,$85.23,5.0,2025-02-03
East,Sports,Yoga Mat,18.56,,2025-01-25
West,Electronics,Laptop,1489.37,5.0,2025-08-27
East,Books,Novel,17.01,2.0,2025-04-29
East,Home,Curtains,40.99,2.0,2025-04-22
North,Electronics ,Textbook,53.32,1.0,2025-08-30
West,Electronics ,Chair,91.39,2.0,2025-05-08
East,Electronics,Smartphone,672.96,6.0,2025-01-15
West,Home,Curtains,22.72,,2025-10-19
,Books,Textbook,50.28,4.0,2025-09-15
South,Sports,Skipping Rope,10.11,7.0,2025-12-30
East,Electronics,Camera,446.22,1.0,2025-05-16
North,Electronics,Headphones,73.25,5.0,
South,Clothing,T-Shirt,,1.0,2025-01-04
West,Books,Textbook,37.66,8.0,2025-01-24
South,Home,Curtains,32.49,1.0,2025-09-04
East,Electronics,Smartphone,,1.0,2025-11-15
South,Electronics,Laptop,1583.09,2.0,2025-10-22
South,Electronics,Laptop,,8.0,2025-02-20
West,Electronics,Headphones,88.45,4.0,2025-07-08
South,Electronics,Smartphone,810.75,6.0,2025-08-21
East,Electronics,Laptop,623.55,7.0,2025-12-04
South,Home,Curtains,43.08,5.0,
North,Home,Curtains,42.15,6.0,2025-12-17
South,Books,Textbook,43.15,5.0,2025-09-20
South,Electronics,Camera,309.82,5.0,2025-05-18
East,Sports,Yoga Mat,22.77,8.0,2025-01-18
South,Sports,Dumbbells,40.67,,2025-11-06
East,Electronics,Laptop,1539.03,2.0,2025-01-09
West,Electronics,Headphones,66.28,,2025-03-06
East,Home,Curtains,28.11,3.0,2025-11-18
South,Sports,Dumbbells,,1.0,2025-12-16
South,Home,Chair,79.81,6.0,2025-08-27
South,Sports,Skipping Rope,9.82,3.0,2025-06-09
South,Home,Chair,79.87,8.0,2025-07-05
East,Electronics,Smartphone,783.15,9.0,2025-09-22
East,Electronics,Smartphone,753.43,4.0,2025-03-24
South,Electronics,Headphones,84.95,3.0,2025-06-11
South,Electronics,Camera,462.73,4.0,2025-08-13
North,Home,Cookware,51.35,8.0,2025-05-05
South,Home,Cookware,51.75,8.0,2025-05-24
West,Books,Textbook,35.33,5.0,2025-07-23
North,Electronics,Headphones,83.19,1.0,2025-03-19
South,Electronics,Headphones,84.83,9.0,2025-07-22
South,Books,Textbook,38.35,3.0,2025-05-27
South,Electronics,Camera,8788.23,2.0,2025-09-13
West,Home,Curtains,22.83,9.0,2025-01-24
West,Electronics,Smartphone,,,2025-12-06
South,Electronics,Laptop,1221.04,4.0,2025-01-18
North,Sports,Dumbbells,32.52,8.0,2025-12-24
West,Books,Textbook,57.69,5.0,2025-09-27
North,Electronics,Headphones,,8.0,2025-02-23
West,Books,Comics,10.6,5.0,2025-09-29
East,Sports,Yoga Mat,$10.21,7.0,2025-07-04
South,Home,Chair,$57.35,,2025-11-07
East,Home,Curtains,24.96,5.0,2025-03-02
West,Home,Curtains,32.26,5.0,2025-07-20
WEST,Clothing,T-Shirt,8.61,4.0,2025-11-26
north ,Clothing,Sneakers,,7.0,2025-09-02
West,Home,Curtains,,,2025-02-02
East,Clothing,Sneakers,49.18,7.0,2025-02-15
,Books,Novel,6.39,3.0,2025-11-04
North,Clothing,Jacket,54.59,6.0,
East,Sports,Yoga Mat,17.6,3.0,2025-01-02
East,Clothing,T-Shirt,11.76,5.0,2025-06-24
North,Clothing,Jeans,21.69,7.0,2025-09-08
North,Sports,Yoga Mat,14.91,4.0,2025-02-22
West,Electronics,Smartphone,477.53,2.0,
North,Books,Comics,8.82,,2025-06-29
West,Home,Curtains,39.03,9.0,2025-09-17
East,Sports,Dumbbells,28.88,5.0,2025-03-21
East,Clothing,T-Shirt,13.58,6.0,
West,Books,Textbook,41.74,6.0,2025-12-11
North,Clothing,T-Shirt,8.93,3.0,2025-12-26
East,Home,Chair,67.65,6.0,2025-07-21
North,Home,Lamp,39.94,2.0,2025-02-12
North,Books,Textbook,33.59,7.0,2025-07-18
South,Clothing,Jeans,34.57,2.0,2025-05-09
East,Clothing,Sneakers,61.97,9.0,2025-02-11
West,Sports,Yoga Mat,14.21,8.0,2025-02-22
East,Electronics ,Comics,7.86,8.0,2025-03-01
North,Sports,Dumbbells,37.55,4.0,2025-10-30
North,Clothing,Jeans,26.6,7.0,2025-05-21
North,Sports,Yoga Mat,20.5,5.0,2025-06-22
WEST,Books,Comics,7.67,8.0,2025-12-31
South,Electronics,Laptop,1473.03,6.0,2025-07-24
West,Books,Comics,5.41,3.0,2025-03-05
South,Clothing,Sneakers,63.96,8.0,2025-05-16
West,Sports,Yoga Mat,13.87,2.0,2025-02-24
South,Books,Comics,6.1,7.0,2025-09-23
East,Electronics,Headphones,65.56,3.0,2025-01-25
West,Electronics,Camera,8810.98,9.0,2025-10-02
North,Home,Lamp,27.98,5.0,2025-07-30
South,Home,Lamp,13.42,1.0,2025-07-31
East,Clothing,Sneakers,40.04,1.0,2025-08-11
West,Books,Textbook,,8.0,2025-03-19
West,Home,Chair,108.47,6.0,2025-12-03
North,Electronics,Smartphone,625.34,7.0,2025-12-06
West,Home,Lamp,,6.0,2025-05-24
West,Sports,Skipping Rope,,3.0,2025-01-29
South,Books,Textbook,56.97,3.0,2025-03-19
East,Electronics,Camera,,4.0,
North,Sports,Yoga Mat,16.37,1.0,2025-06-15
East,Books,Textbook,,9.0,2025-03-22
West,Electronics,Camera,417.8,8.0,2025-09-15
North,Electronics,Camera,778.32,1.0,
West,Clothing,Sneakers,62.07,1.0,2025-11-23
East,Home,Chair,63.22,4.0,2025-06-12
South,Sports,Skipping Rope,$3.80,3.0,2025-06-08
north ,Home,Lamp,,8.0,2025-02-19
West,Books,Comics,8.26,2.0,2025-06-21
North,Sports,Dumbbells,,6.0,2025-09-06
East,Electronics,Laptop,1389.86,1.0,2025-08-03
West,Books,Comics,9.06,2.0,2025-07-03
North,Clothing,Sneakers,46.34,9.0,2025-04-21
north ,Clothing,Jacket,104.39,2.0,2025-09-06
West,Clothing,T-Shirt,16.19,,2025-03-27
WEST,Books,Comics,8.83,6.0,2025-01-30
West,Home,Curtains,39.2,2.0,2025-01-11
West,Electronics,Laptop,4280.73,6.0,2025-11-03
East,Home,Curtains,24.0,4.0,2025-11-08
West,Sports,Skipping Rope,7.98,2.0,2025-04-17
West,Electronics,Smartphone,810.04,6.0,
South,Clothing,Jeans,34.4,3.0,2025-08-10
North,Electronics,Laptop,1345.56,4.0,
East,Sports,Skipping Rope,13.23,9.0,2025-12-25
North,Electronics,Camera,743.94,1.0,2025-06-17
South,Electronics,Smartphone,10841.31,1.0,2025-02-09
West,Electronics,Laptop,,7.0,2025-06-03
North,Clothing,Jeans,43.18,6.0,2025-09-13
West,Clothing,Sneakers,58.49,6.0,2025-02-14
,Sports,Skipping Rope,$12.56,4.0,2025-07-01
North,Sports,Dumbbells,27.33,9.0,2025-01-30
West,Books,Novel,$11.26,8.0,2025-06-27
South,Home,Lamp,24.41,9.0,2025-07-29
North,Clothing,T-Shirt,13.68,2.0,
East,Sports,Skipping Rope,3.97,3.0,
North,Clothing,Jeans,,1.0,2025-02-24
West,Clothing,Jacket,32.25,8.0,2025-03-20
North,Clothing,Jeans,40.29,3.0,2025-09-08
North,Books,Comics,$8.00,7.0,2025-10-29
West,Home,Lamp,20.22,9.0,2025-07-30
North,Books,Textbook,,9.0,2025-09-15
South,Electronics,Headphones,81.23,4.0,2025-09-03
,Sports,Bicycle,406.16,6.0,2025-11-23
South,Clothing,Jacket,88.62,7.0,
West,Home,Curtains,33.61,3.0,2025-05-22
East,Books,Novel,18.69,8.0,2025-05-08
East,Sports,Skipping Rope,9.24,,2025-08-28
West,Electronics,Laptop,1185.02,1.0,2025-11-01
,Electronics,Laptop,1621.61,4.0,2025-05-27
West,Sports,Yoga Mat,14.72,2.0,2025-07-30
North,Home,Cookware,56.18,6.0,2025-07-03
North,Home,Lamp,19.25,3.0,2025-10-01
North,Sports,Dumbbells,27.6,3.0,2025-03-20
West,Books,Novel,15.15,,2025-12-15
North,Clothing,Jacket,56.19,3.0,2025-05-26
East,Home,Curtains,,6.0,2025-10-15
North,Electronics,Smartphone,480.67,7.0,2025-03-27
north ,Electronics,Camera,746.08,8.0,2025-04-18
West,Books,Novel,13.67,8.0,2025-08-12
North,Electronics,Smartphone,,8.0,2025-05-15
South,Clothing,Jeans,38.46,5.0,2025-06-01
East,Clothing,Sneakers,43.92,8.0,2025-12-04
East,Electronics,Camera,479.32,8.0,2025-07-05
South,Sports,Skipping Rope,13.41,5.0,2025-06-21
West,Sports,Dumbbells,20.25,3.0,2025-12-18
East,Electronics,Laptop,1120.92,5.0,2025-04-12
West,Books,Textbook,46.46,9.0,2025-02-13
West,Home,Curtains,40.27,1.0,2025-11-26
West,Sports,Skipping Rope,8.88,4.0,2025-05-16
South,Home,Cookware,54.52,3.0,2025-04-11
North,Sports,Dumbbells,38.42,7.0,2025-09-22
South,Sports,Yoga Mat,21.18,1.0,2025-03-28
West,Books,Comics,9.99,2.0,2025-12-25
South,Clothing,Sneakers,57.71,5.0,
North,Electronics,Headphones,7472.28,8.0,2025-09-09
West,Sports,Dumbbells,33.55,4.0,2025-10-10
West,Books,Comics,7.82,,2025-10-02
East,Electronics,Camera,901.99,3.0,2025-01-05
East,Electronics,Headphones,44.53,3.0,2025-04-18
East,Electronics,Smartphone,,,2025-03-11
North,Sports,Dumbbells,41.14,3.0,2025-03-14
North,Books,Comics,4.87,4.0,2025-11-12
,Electronics ,Laptop,1078.08,7.0,2025-04-26
North,Sports,Yoga Mat,8.76,1.0,2025-07-11
South,Sports,Bicycle,,3.0,2025-08-27
North,Home,Cookware,57.74,6.0,
West,Home,Chair,76.09,7.0,2025-05-25
West,Clothing,Jacket,75.78,6.0,2025-04-10
West,Books,Comics,4.93,3.0,
East,Home,Chair,$66.33,2.0,2025-07-16
West,Electronics,Laptop,1077.33,2.0,2025-09-30
West,Clothing,Sneakers,53.56,7.0,2025-09-10
North,Home,Curtains,,5.0,2025-04-12
North,Books,Textbook,,3.0,2025-11-25
West,Clothing,T-Shirt,11.51,1.0,2025-02-25
West,Home,Cookware,48.22,4.0,2025-02-11
East,Electronics,Camera,806.66,3.0,2025-06-29
South,Clothing,Jeans,63.83,2.0,2025-11-05
South,Home,Lamp,25.34,9.0,2025-04-26
West,Clothing,Sneakers,65.29,8.0,2025-12-30
West,Books,Comics,5.63,5.0,2025-02-09
South,Electronics,Smartphone,,4.0,2025-06-15
East,Clothing,Jacket,100.95,4.0,2025-10-24
,Sports,Skipping Rope,12.61,,2025-11-24
East,Books,Comics,7.06,5.0,2025-02-06
East,Sports,Yoga Mat,8.79,1.0,2025-03-02
South,Clothing,Sneakers,63.15,9.0,2025-10-06
East,Home,Cookware,53.4,7.0,2025-07-17
East,Home,Chair,66.33,2.0,2025-07-16
North,Electronics,Smartphone,5506.58,1.0,2025-01-30
East,Electronics,Laptop,,2.0,2025-10-30
South,Sports,Bicycle,395.53,1.0,2025-02-25
South,Books,Textbook,31.0,7.0,2025-11-07
South,Electronics,Smartphone,428.88,7.0,2025-04-01
South,Home,Chair,85.33,6.0,2025-05-20
South,Electronics,Smartphone,428.88,7.0,2025-04-01
West,Books,Textbook,57.69,5.0,2025-09-27
West,Home,Lamp,25.4,6.0,2025-01-28
South,Home,Curtains,$28.39,6.0,2025-01-23
North,Home,Curtains,30.3,4.0,2025-01-24
South,Sports,Dumbbells,39.84,5.0,2025-04-23
WEST,Books,Novel,15.69,3.0,2025-09-16
West,Clothing,Jeans,44.75,6.0,2025-09-20
North,Sports,Yoga Mat,27.55,1.0,2025-09-05
East,Sports,Yoga Mat,22.62,1.0,2025-07-20
North,Books,Comics,8.84,8.0,
North,Home,Lamp,24.16,3.0,2025-07-18
West,Books,Comics,12.04,2.0,2025-03-30
North,Sports,Yoga Mat,10.64,8.0,2025-04-04
North,Electronics,Camera,768.46,6.0,2025-04-30
West,Clothing,Jacket,90.36,4.0,2025-09-16
West,Sports,Yoga Mat,14.41,,2025-01-30
East,Books,Textbook,$31.71,1.0,2025-03-09
,Electronics,Camera,705.6,9.0,2025-06-09
North,Home,Chair,67.3,-1.0,2025-08-04
West,Electronics,Smartphone,$669.38,,2025-02-19
North,Books,Novel,10.12,,2025-02-13
South,Books,Novel,8.47,2.0,2025-04-07
South,Sports,Bicycle,467.51,,2025-10-05
West,Sports,Bicycle,488.91,9.0,2025-04-06
North,Electronics,Headphones,105.32,2.0,2025-11-22
South,Electronics,Headphones,81.23,4.0,2025-09-03
West,Home,Lamp,27.85,7.0,2025-12-06
North,Home,Cookware,$53.32,5.0,2025-03-30
East,Home,Cookware,46.15,2.0,2025-09-07
East,Clothing,Jacket,83.6,7.0,2025-05-31
South,Books,Comics,9.25,6.0,2025-10-15
South,Books,Textbook,40.87,6.0,2025-06-08
north ,Books,Novel,15.31,7.0,
North,Sports,Dumbbells,,4.0,2025-10-14
South,Sports,Bicycle,455.76,9.0,2025-08-10
East,Electronics,Laptop,916.42,5.0,2025-11-02
West,Electronics,Laptop,475.77,7.0,2025-07-30
East,Sports,Dumbbells,31.56,6.0,2025-06-03
North,Clothing,Jacket,97.34,7.0,2025-04-04
West,Home,Curtains,39.2,8.0,2025-08-14
South,Electronics ,Chair,74.86,6.0,2025-11-17
South,Books,Textbook,35.79,7.0,2025-11-11
South,Sports,Dumbbells,30.5,6.0,2025-07-02
East,Home,Cookware,33.88,3.0,2025-03-02
South,Sports,Bicycle,,2.0,2025-10-13
North,Sports,Yoga Mat,23.52,4.0,2025-03-07
East,Sports,Dumbbells,47.22,5.0,2025-03-29
North,Clothing,Jacket,62.55,8.0,2025-02-18
South,Electronics,Camera,603.28,7.0,2025-11-10
North,Clothing,Jeans,26.91,8.0,2025-06-19
West,Clothing,Jeans,43.91,2.0,2025-06-17
North,Sports,Bicycle,$341.41,3.0,2025-07-01
North,clothing,Chair,84.96,6.0,2025-08-02
,Electronics,Headphones,64.35,9.0,
North,Home,Curtains,13.48,6.0,2025-03-04
East,Clothing,T-Shirt,14.18,1.0,2025-10-02
West,Sports,Bicycle,309.88,7.0,2025-08-13
East,Clothing,Jeans,36.79,8.0,2025-05-23
WEST,Electronics,Smartphone,649.27,,2025-05-15
West,Books,Textbook,46.93,5.0,2025-01-01
West,Electronics,Smartphone,496.67,5.0,2025-11-28
South,Sports,Dumbbells,40.39,5.0,2025-09-29
West,Home,Chair,49.56,3.0,2025-09-25
South,Electronics,Headphones,90.0,6.0,2025-12-13
North,Sports,Dumbbells,24.75,8.0,2025-11-26
North,Home,Curtains,31.93,5.0,2025-10-05
East,Clothing,Sneakers,103.58,8.0,2025-03-08
South,Home,Lamp,23.1,7.0,2025-05-12
West,Electronics,Camera,555.11,9.0,2025-02-22
West,Sports,Bicycle,540.38,6.0,2025-11-10
North,Clothing,Sneakers,75.71,3.0,2025-10-15
North,Electronics ,Comics,10.22,6.0,2025-06-11
South,Electronics,Headphones,83.03,5.0,2025-05-05
north ,Electronics,Headphones,74.33,3.0,2025-02-18
East,Electronics,Camera,562.98,9.0,2025-11-13
West,Electronics,Smartphone,680.06,3.0,2025-09-17
North,Sports,Bicycle,$278.34,3.0,2025-12-13
North,Home,Curtains,30.67,3.0,2025-01-01
West,Books,Comics,,7.0,2025-03-05
North,Home,Lamp,20.78,8.0,2025-03-16
South,Clothing,Sneakers,74.52,5.0,2025-07-16
West,Electronics,Headphones,101.95,8.0,2025-01-24
North,Clothing,Jacket,$85.48,9.0,2025-07-18
north ,Clothing,T-Shirt,10.82,7.0,2025-11-19
West,Books,Comics,8.63,8.0,2025-10-26
West,Clothing,Jacket,68.85,8.0,2025-01-15
West,Electronics,Headphones,4866.0,6.0,2025-09-26
East,Books,Textbook,35.3,4.0,2025-05-07
South,Books,Novel,8.62,1.0,2025-07-23
East,Electronics,Smartphone,664.49,3.0,2025-01-22
West,Home,Chair,66.14,6.0,2025-04-15
North,Electronics,Headphones,85.67,7.0,2025-05-30
South,Electronics ,Laptop,$445.17,4.0,2025-10-07
West,Books,Textbook,24.29,9.0,
West,Home,Chair,74.84,3.0,2025-06-18
East,Electronics ,Jacket,73.94,6.0,2025-02-23
North,Electronics ,Bicycle,382.08,1.0,2025-02-04
West,Electronics,Camera,753.71,3.0,2025-05-28
North,Home,Cookware,50.92,8.0,2025-03-27
South,Sports,Skipping Rope,11.59,4.0,2025-09-15
North,Electronics,Smartphone,8065.34,4.0,2025-02-20
South,Home,Lamp,$31.31,1.0,
West,Home,Chair,84.85,6.0,2025-04-27
north ,Electronics,Headphones,,5.0,2025-01-02
East,Sports,Yoga Mat,27.68,1.0,2025-05-01
South,Electronics,Smartphone,661.91,3.0,2025-09-17
South,Clothing,Jeans,$49.63,6.0,2025-01-26
West,Clothing,Sneakers,53.18,,2025-11-01
West,Clothing,Jeans,41.41,2.0,2025-10-17
East,Clothing,Jeans,45.78,3.0,2025-06-19
West,Home,Chair,107.36,3.0,2025-12-18
East,Electronics,Headphones,81.84,5.0,2025-11-30
South,Books,Novel,,6.0,2025-12-27
East,Sports,Dumbbells,25.83,4.0,2025-05-10
East,Electronics,Camera,741.08,4.0,2025-10-19
West,Home,Curtains,24.87,7.0,2025-04-03
West,Home,Cookware,,4.0,2025-01-08
West,Electronics,Laptop,1461.58,4.0,
South,Home,Cookware,63.27,8.0,2025-06-13
North,Electronics,Camera,442.2,1.0,2025-12-15
North,Sports,Yoga Mat,24.54,4.0,2025-09-16
South,Books,Textbook,34.38,5.0,2025-11-04
East,Clothing,T-Shirt,,2.0,2025-06-13
North,Clothing,Sneakers,50.72,5.0,2025-04-24
West,Sports,Yoga Mat,14.82,5.0,2025-11-10
North,Home,Curtains,$38.93,1.0,2025-02-24
South,Books,Textbook,30.8,7.0,2025-03-02
East,Electronics,Camera,706.68,6.0,2025-03-16
North,Clothing,Jeans,26.91,8.0,2025-06-19
South,Sports,Bicycle,413.99,9.0,2025-02-01
South,Books,Novel,6.72,8.0,
,Books,Textbook,37.47,9.0,2025-11-30
West,Clothing,Sneakers,36.51,1.0,2025-10-22
North,Home,Lamp,24.95,1.0,2025-05-10
South,Home,Chair,71.44,2.0,2025-09-22
West,Sports,Bicycle,371.38,1.0,2025-06-08
North,Home,Curtains,34.25,6.0,2025-01-28
North,Home,Chair,64.84,1.0,2025-03-20
North,Electronics,Smartphone,458.12,7.0,2025-06-29
West,Clothing,Jeans,58.86,3.0,2025-10-16
West,clothing,T-Shirt,8.17,8.0,2025-11-14
North,Sports,Bicycle,303.9,6.0,2025-01-23
,Home,Lamp,13.69,7.0,2025-06-10
West,Books,Textbook,69.87,8.0,2025-09-17
East,Sports,Yoga Mat,20.51,3.0,2025-10-14
South,Home,Lamp,29.07,5.0,2025-10-12
South,Electronics,Camera,4043.44,6.0,2025-11-04
North,Home,Lamp,34.36,6.0,2025-07-29
North,Electronics,Smartphone,605.14,7.0,2025-06-28
East,Home,Cookware,48.95,,2025-06-29
North,Sports,Dumbbells,,9.0,2025-02-01
East,Electronics ,Dumbbells,33.5,8.0,2025-07-15
north ,Clothing,T-Shirt,19.35,,2025-03-15
South,Clothing,Jacket,,6.0,2025-12-15
West,Sports,Skipping Rope,7.16,4.0,2025-09-19
East,Clothing,Jeans,50.73,8.0,2025-05-28
West,Books,Comics,7.0,3.0,2025-11-22
West,Clothing,Jacket,104.39,2.0,2025-09-06
South,Sports,Dumbbells,20.08,9.0,2025-06-10
North,Home,Curtains,,2.0,2025-04-23
West,Books,Textbook,13.75,4.0,2025-11-15
East,Books,Textbook,52.45,5.0,2025-01-26
West,Clothing,Jeans,42.27,3.0,
South,Clothing,Jeans,49.63,6.0,2025-01-26
East,Sports,Skipping Rope,7.41,,2025-11-03
East,Clothing,Sneakers,64.33,1.0,2025-01-22
,Books,Comics,7.69,1.0,
East,Clothing,T-Shirt,18.16,8.0,
West,Clothing,Jeans,41.73,9.0,2025-11-28
South,Electronics,Headphones,95.9,5.0,2025-06-13
West,Electronics,Headphones,38.9,6.0,2025-06-10
East,Books,Novel,12.71,4.0,2025-04-04
North,Sports,Skipping Rope,7.24,1.0,2025-10-05
North,Sports,Bicycle,382.22,4.0,2025-12-08
West,Books,Textbook,33.99,7.0,2025-04-04
North,Books,Novel,,5.0,2025-09-18
East,Books,Comics,8.42,8.0,2025-11-30
South,Home,Cookware,75.16,8.0,2025-04-06
East,Home,Cookware,71.0,8.0,2025-08-02
North,Home,Cookware,43.57,5.0,2025-05-28
West,Electronics,Smartphone,,4.0,2025-05-12
West,Sports,Yoga Mat,16.43,3.0,
South,Home,Lamp,18.55,9.0,2025-04-17
WEST,Home,Cookware,88.8,7.0,2025-12-28
South,Electronics,Smartphone,520.38,3.0,2025-01-04
East,Clothing,T-Shirt,10.08,3.0,2025-08-22
,Books,Textbook,67.6,8.0,2025-04-15
West,Electronics,Smartphone,1107.93,4.0,2025-12-08
South,Electronics,Camera,749.38,8.0,2025-09-02
South,Clothing,Jeans,40.78,4.0,2025-10-15
West,Clothing,T-Shirt,18.71,2.0,2025-08-31
North,Clothing,Jeans,48.21,8.0,2025-03-23
South,Home,Lamp,25.15,1.0,2025-09-28
South,Home,Cookware,55.36,6.0,2025-10-04
North,Home,Cookware,72.31,3.0,2025-03-08
North,Home,Curtains,36.29,8.0,2025-07-31
East,Clothing,Sneakers,60.17,5.0,2025-05-08
East,Clothing,Jacket,116.81,5.0,
West,Sports,Bicycle,244.42,8.0,2025-01-14
South,Electronics,Headphones,56.39,2.0,2025-09-04
North,Home,Chair,47.94,-1.0,2025-07-01
,Electronics,Camera,604.67,8.0,2025-06-28
South,Books,Textbook,31.95,5.0,2025-12-10
West,Clothing,T-Shirt,12.8,7.0,2025-04-15
North,Home,Cookware,72.94,7.0,2025-10-27
north ,Sports,Yoga Mat,21.71,6.0,
north ,Clothing,Jacket,83.38,9.0,2025-11-17
North,Books,Comics,8.58,7.0,2025-06-17
South,Clothing,Jacket,62.63,7.0,2025-08-02
South,Books,Novel,,8.0,2025-02-01
East,Electronics,Camera,699.87,1.0,2025-05-09
South,Books,Comics,7.55,2.0,2025-04-10
