gender,age,internet,family_support,school_support,parental_education,study_time_hours,attendance_pct,absences,failures,math_score,reading_score,writing_score
Female,18,No,Yes,No,Bachelor,10.0,90.5,11,0,74,85,73
Female,15,No,Yes,No,High School,29.0,58.5,6,3,85,75,72
Male,16,No,No,No,PhD,19.0,96.1,29,1,87,84,88
Male,15,No,Yes,Yes,High School,27.0,90.1,26,0,96,96,90
Male,16,Yes,Yes,No,Bachelor,7.0,78.9,29,0,74,76,74
Female,17,Yes,No,Yes,Bachelor,29.0,77.5,8,0,94,98,100
Female,17,Yes,Yes,Yes,High School,17.0,69.0,12,1,78,76,76
Male,16,Yes,Yes,No,High School,10.0,75.7,3,0,68,67,70
Male,15,Yes,No,No,High School,16.0,99.0,23,0,95,95,85
Male,19,Yes,Yes,No,Master,22.0,93.0,7,0,89,97,85
Male,19,Yes,Yes,Yes,High School,19.0,71.9,27,2,88,83,79
Male,18,No,Yes,No,No Formal Education,28.0,80.9,3,0,88,87,92
Male,15,Yes,No,No,Master,15.0,55.3,10,1,70,71,63
Male,17,Yes,Yes,No,PhD,0.0,85.0,16,2,62,63,67
Male,15,Yes,Yes,No,Bachelor,2.0,87.0,29,0,72,74,64
Female,18,Yes,Yes,Yes,Master,2.0,98.0,8,0,83,82,61
Female,16,Yes,Yes,Yes,No Formal Education,10.0,86.1,23,2,78,74,74
Male,18,No,Yes,Yes,No Formal Education,20.0,90.3,22,1,92,87,82
Male,18,Yes,No,No,No Formal Education,3.0,82.4,4,2,57,63,68
Male,19,Yes,Yes,No,Master,22.0,76.6,21,0,93,84,74
Female,18,Yes,No,No,No Formal Education,11.0,55.7,24,1,70,68,68
Female,15,Yes,No,Yes,No Formal Education,26.0,91.4,5,2,100,84,94
Female,15,Yes,Yes,No,Bachelor,26.0,82.9,4,0,85,95,100
Female,17,No,Yes,No,High School,15.0,87.7,14,0,84,86,84
Male,17,Yes,Yes,Yes,Bachelor,22.0,73.8,0,0,85,87,87
Female,17,Yes,No,Yes,Master,11.0,96.2,22,1,83,88,80
Female,17,Yes,Yes,No,Bachelor,19.0,64.3,11,1,76,72,69
Male,15,Yes,Yes,No,High School,14.0,59.1,15,0,77,77,71
Female,18,Yes,No,No,No Formal Education,10.0,72.2,16,0,69,72,63
Female,17,Yes,No,No,Master,20.0,73.5,13,0,88,85,93
Female,17,Yes,Yes,Yes,Master,21.0,77.1,26,1,77,87,89
Female,19,Yes,No,Yes,High School,16.0,56.8,3,0,72,83,76
Female,15,Yes,Yes,No,High School,19.0,61.5,1,0,81,74,71
Male,18,Yes,No,Yes,High School,29.0,71.5,16,3,80,97,70
Female,16,Yes,Yes,Yes,High School,18.0,99.4,18,0,100,93,100
Male,15,Yes,Yes,No,Master,20.0,68.1,27,0,87,78,78
Female,17,No,No,No,Bachelor,17.0,97.2,24,0,88,98,84
Female,15,Yes,No,No,High School,12.0,89.5,4,0,85,81,75
Female,15,Yes,No,No,High School,14.0,94.9,21,0,87,88,83
Male,18,Yes,No,No,PhD,24.0,83.7,19,2,78,90,88
Male,17,Yes,Yes,Yes,High School,7.0,81.4,16,2,70,71,64
Male,16,Yes,Yes,No,Master,23.0,77.3,7,0,85,90,83
Male,18,No,No,No,PhD,25.0,99.9,25,3,93,86,87
Female,18,Yes,Yes,No,Bachelor,24.0,85.9,29,0,85,100,92
Female,19,Yes,No,No,Bachelor,15.0,77.1,8,0,76,90,72
Male,18,Yes,Yes,Yes,Bachelor,1.0,61.7,27,1,61,68,51
Female,15,Yes,No,No,Bachelor,2.0,57.6,15,0,56,60,52
Male,17,Yes,No,No,Bachelor,22.0,67.5,8,0,77,81,79
Female,17,Yes,Yes,No,Bachelor,13.0,62.8,11,1,61,63,69
Female,15,Yes,Yes,Yes,Master,0.0,85.8,3,0,64,70,59
Female,19,Yes,Yes,No,Bachelor,3.0,58.2,18,2,49,63,63
Male,17,Yes,Yes,No,Master,23.0,62.8,28,0,81,82,83
Female,15,Yes,Yes,Yes,High School,14.0,91.0,15,2,81,81,82
Female,19,Yes,Yes,No,PhD,22.0,93.1,27,0,96,86,80
Female,18,Yes,No,Yes,High School,4.0,72.3,18,0,61,66,68
Female,17,Yes,Yes,No,No Formal Education,18.0,60.0,25,0,75,77,75
Male,19,Yes,Yes,No,Bachelor,24.0,84.1,25,0,86,91,85
Female,19,Yes,Yes,No,Bachelor,14.0,94.4,23,0,83,84,85
Male,16,Yes,Yes,No,High School,5.0,66.2,6,0,57,61,58
Female,16,Yes,Yes,Yes,High School,17.0,61.1,6,0,75,79,77
Female,16,Yes,Yes,No,High School,23.0,67.9,24,0,87,76,79
Female,17,Yes,No,No,Master,21.0,93.3,2,0,82,85,86
Female,18,Yes,No,Yes,High School,1.0,76.4,16,0,60,62,67
Female,17,Yes,Yes,Yes,No Formal Education,12.0,72.6,4,0,73,79,70
Female,15,Yes,No,No,Bachelor,0.0,92.6,19,0,70,71,65
Male,19,Yes,Yes,No,Bachelor,18.0,93.6,3,0,91,95,80
Male,19,Yes,Yes,No,Master,24.0,84.3,23,0,94,89,88
Male,18,Yes,No,No,High School,2.0,95.4,23,0,78,76,66
Male,16,Yes,Yes,No,High School,13.0,72.2,6,0,77,66,70
Female,17,Yes,Yes,Yes,Bachelor,6.0,72.2,19,0,68,66,68
Male,19,Yes,Yes,Yes,Master,2.0,59.0,18,0,64,66,70
Female,15,Yes,No,Yes,Bachelor,11.0,73.6,25,0,68,72,63
Male,15,Yes,No,No,PhD,18.0,86.5,0,0,91,79,77
Female,16,Yes,No,No,No Formal Education,28.0,62.7,12,0,88,87,77
Male,17,Yes,No,No,High School,12.0,95.8,14,0,86,76,82
Male,19,Yes,Yes,No,No Formal Education,27.0,77.4,18,0,87,100,86
Male,15,Yes,Yes,Yes,Master,0.0,68.2,11,0,52,69,53
Female,15,Yes,No,No,Master,29.0,62.9,14,1,86,80,77
Male,19,Yes,Yes,No,High School,6.0,97.8,28,1,75,77,78
Male,18,Yes,Yes,Yes,Master,3.0,83.5,20,1,73,63,58
Male,17,Yes,Yes,No,PhD,19.0,80.8,20,3,75,78,59
Male,16,Yes,No,No,Bachelor,8.0,94.4,29,2,87,76,65
Male,19,Yes,Yes,No,High School,3.0,85.7,19,0,84,68,58
Male,18,Yes,No,No,Bachelor,15.0,70.3,8,0,71,77,79
Female,15,Yes,No,No,High School,0.0,75.5,18,1,61,66,65
Female,19,Yes,No,No,Master,24.0,83.7,1,2,80,90,90
Male,15,Yes,No,Yes,Bachelor,7.0,73.1,0,0,70,74,63
Male,18,Yes,No,No,Bachelor,10.0,79.9,3,3,70,61,59
Female,18,Yes,Yes,No,High School,12.0,82.6,3,0,83,74,81
Female,15,No,No,No,Bachelor,19.0,69.4,6,0,74,78,77
Female,17,Yes,Yes,No,Master,13.0,62.0,7,2,58,72,69
Female,18,Yes,Yes,No,High School,22.0,87.0,5,0,85,88,85
Male,17,Yes,Yes,No,Bachelor,13.0,80.5,21,0,87,71,70
Female,19,Yes,Yes,No,High School,0.0,88.2,16,0,71,75,62
Male,18,Yes,No,No,Master,16.0,67.8,4,3,62,72,64
Male,15,No,No,Yes,High School,15.0,96.0,27,0,79,99,78
Female,16,Yes,No,No,High School,2.0,83.5,27,2,67,56,60
Female,19,Yes,No,No,Master,13.0,63.5,1,0,75,71,80
Female,18,Yes,Yes,No,High School,11.0,72.5,25,0,74,76,68
Male,19,Yes,Yes,No,No Formal Education,4.0,73.0,10,1,66,64,58
Male,16,Yes,No,No,Bachelor,10.0,67.7,19,1,65,67,59
Female,15,Yes,No,No,Bachelor,3.0,66.3,19,0,61,59,60
Female,17,Yes,No,No,No Formal Education,18.0,68.1,2,1,75,76,77
Male,15,No,Yes,No,High School,17.0,86.8,5,0,82,77,81
Female,17,No,Yes,Yes,Bachelor,12.0,56.3,29,0,71,77,61
Male,17,Yes,Yes,Yes,PhD,21.0,74.3,28,0,81,79,74
Male,16,Yes,Yes,No,High School,2.0,58.3,7,1,62,57,52
Female,19,Yes,No,No,High School,12.0,80.8,10,0,80,76,77
Female,19,Yes,No,No,PhD,26.0,77.7,20,3,80,85,80
Male,15,Yes,No,No,Bachelor,24.0,77.7,26,0,88,90,81
Male,15,No,No,Yes,High School,26.0,70.8,27,0,99,88,89
Female,19,Yes,Yes,No,PhD,24.0,79.7,29,0,89,85,85
Female,17,No,Yes,No,Bachelor,29.0,81.8,20,0,100,85,95
Female,15,Yes,Yes,Yes,Master,28.0,96.9,23,0,100,97,100
Female,18,Yes,Yes,No,Bachelor,10.0,63.5,10,0,72,70,65
Male,17,Yes,Yes,Yes,Bachelor,19.0,99.7,4,0,100,97,88
Male,18,Yes,Yes,Yes,No Formal Education,6.0,85.9,13,0,88,87,70
Male,15,No,Yes,Yes,High School,0.0,63.0,25,0,63,61,63
Female,15,Yes,Yes,No,No Formal Education,15.0,63.2,11,0,69,86,69
Female,16,Yes,No,No,High School,15.0,58.5,24,0,71,76,81
Female,15,Yes,No,No,Master,14.0,82.9,19,0,82,81,87
Female,16,Yes,Yes,No,High School,3.0,69.8,18,1,54,58,58
Male,19,Yes,Yes,No,High School,3.0,88.0,16,1,72,75,71
Female,15,No,No,No,High School,5.0,66.2,6,0,68,58,57
Male,15,Yes,Yes,Yes,PhD,6.0,85.4,10,0,74,71,68
Female,16,Yes,Yes,No,Bachelor,19.0,74.4,27,0,82,81,86
Male,18,Yes,No,Yes,PhD,6.0,79.4,2,3,76,78,56
Female,16,Yes,No,No,High School,26.0,62.0,6,1,81,91,83
Female,17,Yes,No,No,Master,9.0,84.7,9,0,73,82,82
Female,19,Yes,No,Yes,Bachelor,15.0,59.2,16,0,90,75,86
Male,15,Yes,No,No,No Formal Education,6.0,82.3,25,0,65,79,64
Male,17,Yes,Yes,No,High School,12.0,84.8,2,0,76,77,77
Male,16,No,No,No,High School,18.0,91.0,12,2,81,90,74
Male,15,Yes,No,Yes,Master,23.0,58.6,16,3,79,76,76
Female,18,Yes,Yes,Yes,High School,19.0,55.3,8,0,75,80,79
Male,16,Yes,Yes,No,High School,28.0,69.5,2,0,95,84,94
Male,19,Yes,Yes,No,Bachelor,29.0,71.2,14,0,94,96,87
Male,19,Yes,Yes,No,Bachelor,7.0,73.5,25,0,67,67,58
Male,18,Yes,Yes,Yes,High School,18.0,98.4,24,0,100,90,92
Male,18,Yes,Yes,No,High School,17.0,90.1,16,0,92,86,83
Female,16,Yes,Yes,Yes,Master,12.0,83.2,3,0,84,80,76
Female,19,No,Yes,No,No Formal Education,8.0,86.5,10,0,73,72,72
Female,15,Yes,Yes,No,No Formal Education,20.0,78.9,17,0,89,86,77
Male,18,Yes,Yes,No,Bachelor,2.0,75.2,12,3,66,59,64
Female,17,Yes,No,No,High School,10.0,82.8,9,0,78,85,75
Male,15,Yes,Yes,No,No Formal Education,8.0,88.7,10,0,83,71,73
Female,16,Yes,Yes,No,High School,28.0,62.5,17,0,91,88,80
Female,16,Yes,Yes,No,Bachelor,21.0,71.9,22,0,82,86,92
Male,17,Yes,No,No,High School,13.0,82.7,6,2,78,73,66
Female,19,Yes,Yes,No,High School,12.0,59.7,11,0,66,69,72
Male,16,Yes,Yes,Yes,Master,6.0,70.5,23,1,60,65,59
Female,16,Yes,No,Yes,High School,19.0,70.5,29,1,79,73,79
Male,18,No,Yes,No,High School,8.0,73.3,25,0,69,71,66
Female,18,Yes,No,Yes,No Formal Education,29.0,73.9,8,2,86,89,83
Female,17,Yes,No,No,High School,5.0,98.2,16,0,75,82,69
Male,19,Yes,No,No,Bachelor,16.0,56.4,25,0,75,72,64
Male,17,Yes,Yes,No,Bachelor,5.0,79.9,0,0,67,67,70
Female,18,Yes,No,Yes,Bachelor,1.0,62.0,22,0,57,65,61
Female,19,No,No,No,PhD,19.0,95.2,27,2,92,75,80
Male,18,Yes,Yes,Yes,No Formal Education,26.0,65.2,8,0,84,90,93
Female,16,Yes,Yes,Yes,High School,26.0,67.3,2,0,92,91,82
Female,16,No,Yes,No,High School,12.0,58.1,14,2,52,56,72
Male,18,Yes,Yes,No,Master,2.0,84.9,15,2,66,57,58
Male,19,Yes,Yes,No,High School,5.0,96.1,9,0,70,78,72
Male,18,Yes,No,Yes,No Formal Education,15.0,77.9,22,0,82,80,68
Male,16,Yes,Yes,No,High School,28.0,91.6,27,0,100,98,100
Female,18,Yes,Yes,Yes,High School,16.0,86.5,3,0,78,90,82
Female,16,Yes,Yes,No,High School,1.0,76.9,23,0,66,69,66
Female,15,Yes,Yes,No,Master,14.0,67.8,26,0,78,82,76
Female,19,Yes,Yes,Yes,No Formal Education,23.0,72.4,13,0,90,92,78
Male,15,Yes,Yes,Yes,High School,28.0,77.1,1,0,99,100,93
Female,19,Yes,No,No,High School,13.0,81.5,9,0,75,80,81
Male,15,Yes,Yes,No,No Formal Education,4.0,93.8,20,0,83,80,72
Male,15,Yes,Yes,No,Bachelor,25.0,94.5,22,0,96,96,94
Female,15,Yes,No,No,Master,25.0,64.1,17,2,90,63,80
Female,18,Yes,No,Yes,PhD,27.0,73.1,18,0,80,93,90
Male,16,Yes,No,No,High School,24.0,80.1,4,0,84,81,96
Male,16,Yes,Yes,Yes,PhD,10.0,80.6,7,0,75,75,61
Male,18,Yes,Yes,Yes,Master,2.0,66.1,21,0,62,62,65
Female,15,Yes,No,No,High School,26.0,57.8,17,0,92,84,80
Male,19,Yes,No,No,No Formal Education,19.0,68.1,4,0,79,80,70
Male,19,Yes,No,No,High School,18.0,95.9,22,0,97,87,85
Female,19,Yes,No,Yes,High School,23.0,80.0,22,0,93,88,92
Female,17,No,Yes,Yes,Master,3.0,98.4,19,0,75,82,79
Male,17,No,Yes,No,Master,13.0,63.5,19,0,72,72,68
Male,15,Yes,No,Yes,Master,16.0,56.2,3,0,75,73,65
Female,19,Yes,No,Yes,Bachelor,5.0,87.3,28,0,85,75,70
Male,15,Yes,No,No,High School,29.0,64.9,23,0,94,81,85
Male,15,Yes,No,Yes,Master,5.0,97.2,13,2,80,80,72
Male,17,Yes,No,No,Master,23.0,72.4,27,1,91,82,81
Female,17,Yes,No,No,No Formal Education,23.0,59.9,22,1,79,83,77
Male,16,Yes,Yes,No,Bachelor,27.0,80.9,22,0,97,86,85
Male,15,Yes,No,No,High School,12.0,64.6,17,0,68,73,76
Male,19,Yes,No,No,High School,29.0,80.5,21,1,91,91,96
Male,16,Yes,No,No,Master,14.0,70.3,0,0,78,78,66
Female,18,Yes,Yes,No,Bachelor,9.0,62.2,12,0,64,61,55
Male,15,Yes,No,No,PhD,25.0,71.3,23,0,79,76,79
Male,19,Yes,No,No,Bachelor,27.0,86.8,12,1,91,93,99
Female,19,Yes,Yes,Yes,Bachelor,0.0,61.6,8,0,60,63,56
Female,16,Yes,Yes,No,Bachelor,14.0,55.0,29,0,70,76,59
Female,17,Yes,Yes,Yes,Master,0.0,64.9,0,0,55,67,60
Female,17,Yes,Yes,No,High School,18.0,77.4,1,2,76,73,77
Male,15,Yes,No,No,No Formal Education,11.0,91.9,20,0,82,69,69
Female,15,Yes,No,Yes,Master,28.0,73.9,1,2,89,87,96
Male,19,No,Yes,No,High School,10.0,63.1,22,3,58,63,59
Female,19,Yes,Yes,No,PhD,29.0,93.2,18,0,100,100,95
Male,17,Yes,Yes,No,Bachelor,5.0,92.7,20,1,74,71,68
Female,17,Yes,Yes,No,High School,9.0,97.7,3,0,79,76,86
Female,19,Yes,No,No,No Formal Education,7.0,96.0,29,1,73,74,77
Female,18,Yes,No,Yes,Bachelor,27.0,78.6,1,2,89,97,92
Male,19,No,Yes,No,Master,16.0,90.5,11,3,75,67,66
Female,15,Yes,Yes,Yes,Bachelor,23.0,91.5,19,0,95,96,96
Female,18,Yes,No,No,Bachelor,16.0,83.6,5,0,74,83,82
Male,18,Yes,No,No,Master,27.0,85.6,18,3,90,87,83
Male,18,No,Yes,No,Bachelor,1.0,67.8,6,2,55,64,51
Female,15,No,Yes,Yes,High School,9.0,59.8,1,0,78,80,70
Male,16,Yes,No,No,High School,7.0,66.4,7,3,58,51,53
Male,18,Yes,No,No,Bachelor,26.0,88.0,10,1,100,90,93
Female,16,No,No,No,Bachelor,9.0,78.6,27,2,64,74,68
Female,19,No,No,No,No Formal Education,8.0,60.9,28,0,67,67,63
Female,16,Yes,Yes,Yes,PhD,1.0,67.7,15,2,67,55,61
Male,19,Yes,Yes,No,Bachelor,27.0,97.0,9,0,100,100,94
Female,15,No,Yes,No,Bachelor,25.0,89.7,1,0,81,88,96
Female,18,Yes,Yes,No,No Formal Education,0.0,95.3,21,3,69,73,61
Female,15,Yes,No,No,Master,14.0,57.9,27,0,67,77,76
Male,18,Yes,Yes,No,High School,29.0,78.9,8,0,100,91,84
Male,19,Yes,No,Yes,Master,17.0,88.3,20,0,85,87,88
Female,19,Yes,Yes,Yes,High School,21.0,99.7,17,0,98,92,90
Male,17,Yes,No,No,High School,15.0,78.5,22,1,81,85,77
Male,16,Yes,No,No,High School,25.0,88.4,28,2,85,86,90
Female,15,No,No,No,Bachelor,15.0,82.5,4,3,74,68,69
Female,17,Yes,Yes,No,Bachelor,26.0,67.4,4,1,97,83,89
Female,18,Yes,No,No,Bachelor,28.0,92.3,5,0,99,100,99
Female,18,Yes,Yes,No,Bachelor,12.0,72.4,9,0,74,78,71
Male,17,Yes,Yes,No,Master,12.0,66.4,23,3,68,58,58
Female,16,Yes,No,No,High School,10.0,57.1,24,0,66,64,68
Female,16,Yes,No,No,Bachelor,4.0,95.6,25,2,86,72,68
Female,15,Yes,Yes,No,Bachelor,2.0,73.9,29,3,49,54,57
Female,18,Yes,No,No,Master,3.0,95.5,18,0,72,74,70
Female,16,Yes,Yes,No,High School,22.0,60.8,23,0,79,87,71
Male,15,Yes,Yes,No,High School,0.0,75.5,19,0,61,61,64
Male,19,Yes,No,No,High School,15.0,74.1,16,0,78,70,78
Female,19,Yes,Yes,No,Bachelor,0.0,69.5,27,0,49,62,60
Male,17,Yes,Yes,No,Bachelor,16.0,65.0,17,0,76,81,76
Female,18,Yes,Yes,No,High School,9.0,90.4,29,0,82,71,69
Female,15,Yes,No,No,PhD,28.0,95.5,17,0,100,100,85
Male,15,Yes,No,No,High School,2.0,76.2,27,1,60,71,59
Female,15,No,No,No,PhD,27.0,77.9,7,0,91,98,84
Female,15,Yes,Yes,No,No Formal Education,22.0,81.9,22,0,92,97,93
Male,17,Yes,Yes,Yes,High School,21.0,67.0,14,0,87,86,78
Female,17,Yes,Yes,No,High School,9.0,61.6,28,0,66,63,70
Female,15,Yes,Yes,No,High School,0.0,56.5,29,0,53,59,55
Male,18,Yes,Yes,Yes,High School,17.0,98.0,9,0,98,89,94
Male,16,Yes,Yes,No,PhD,17.0,73.4,22,0,89,81,81
Female,19,Yes,No,No,Bachelor,24.0,63.6,4,1,84,87,76
Male,18,Yes,Yes,No,Master,23.0,57.9,0,0,72,69,78
Female,15,Yes,Yes,No,No Formal Education,14.0,56.0,21,0,59,73,70
Male,18,Yes,No,No,Bachelor,26.0,88.9,25,1,98,86,89
Male,15,Yes,Yes,No,High School,17.0,55.1,4,0,65,72,69
Female,16,Yes,Yes,Yes,Bachelor,24.0,65.9,10,0,77,83,87
Male,19,No,Yes,No,Master,23.0,78.3,7,0,95,85,93
Male,17,Yes,Yes,No,Bachelor,8.0,90.9,4,0,77,70,73
Female,19,Yes,No,Yes,No Formal Education,19.0,97.1,24,3,84,78,80
Male,17,Yes,No,No,Bachelor,22.0,73.4,26,0,88,78,82
Male,15,Yes,No,Yes,High School,11.0,79.0,27,0,81,77,69
Male,15,Yes,No,No,Bachelor,21.0,60.3,27,0,80,69,80
Male,15,Yes,Yes,Yes,Bachelor,29.0,70.5,0,0,99,98,81
Male,15,Yes,Yes,Yes,Bachelor,29.0,93.7,24,0,95,100,100
Female,17,Yes,No,No,Bachelor,19.0,97.3,28,2,86,91,73
Female,16,Yes,No,No,High School,17.0,71.9,10,0,77,81,90
Female,15,Yes,No,No,Master,8.0,70.5,16,0,67,62,74
Female,17,Yes,No,No,No Formal Education,23.0,65.7,6,0,84,85,85
Male,15,No,No,No,High School,27.0,83.9,21,0,91,94,87
Female,19,Yes,Yes,No,Master,1.0,56.7,16,0,46,62,55
Male,16,Yes,Yes,No,PhD,22.0,75.4,16,1,88,75,77
Male,19,Yes,No,No,High School,3.0,57.8,6,1,54,59,53
Male,15,Yes,Yes,No,PhD,9.0,61.9,20,1,60,66,56
Male,18,Yes,Yes,No,Master,22.0,76.1,16,0,87,80,80
Female,18,Yes,Yes,No,High School,25.0,74.7,17,0,90,87,87
Female,19,Yes,No,Yes,High School,9.0,65.1,8,0,61,69,70
Male,16,Yes,No,Yes,Bachelor,8.0,61.1,26,0,65,67,63
Female,17,Yes,Yes,Yes,Bachelor,19.0,98.2,27,0,94,82,99
