age,tenure_months,monthly_charges,total_charges,support_calls,num_contracts,plan_type,payment_method,region,churned
42.0,18.0,41.77,751.86,3.0,1.0,Basic,Credit Card,East,0
48.0,21.0,68.5,1438.5,1.0,2.0,Standard,Credit Card,North,0
34.0,52.0,30.31,1576.12,3.0,2.0,Basic,Bank Transfer,North,0
40.0,3.0,101.66,304.98,3.0,2.0,Premium,Credit Card,North,0
52.0,5.0,34.7,173.5,14.0,1.0,Basic,Bank Transfer,West,1
33.0,46.0,52.21,2401.66,1.0,1.0,Basic,Bank Transfer,South,0
68.0,9.0,80.09,720.81,4.0,4.0,Standard,Credit Card,North,1
28.0,68.0,57.15,3886.2,2.0,5.0,Standard,Prepaid,East,0
66.0,1.0,41.9,41.9,11.0,5.0,Basic,Bank Transfer,South,0
63.0,46.0,36.93,1698.78,2.0,3.0,Basic,Cash,North,0
67.0,28.0,27.6,772.8,2.0,2.0,Basic,Credit Card,North,0
59.0,54.0,34.27,1850.58,9.0,3.0,Basic,Cash,West,0
45.0,65.0,123.11,8002.15,6.0,4.0,Premium,Credit Card,South,0
49.0,27.0,112.43,3035.61,6.0,1.0,Premium,Cash,South,0
28.0,44.0,49.84,2192.96,,1.0,Standard,Cash,North,0
35.0,56.0,132.33,7410.48,8.0,5.0,Premium,Bank Transfer,South,0
42.0,33.0,35.01,1155.33,13.0,5.0,Basic,Prepaid,West,1
67.0,35.0,87.44,3060.4,9.0,2.0,Standard,Cash,South,0
59.0,27.0,36.68,990.36,1.0,5.0,Basic,Bank Transfer,South,0
47.0,51.0,39.39,2008.89,5.0,2.0,Basic,Cash,North,0
48.0,69.0,29.44,2031.36,3.0,2.0,Basic,Bank Transfer,East,0
40.0,18.0,35.03,630.54,12.0,3.0,Basic,Bank Transfer,South,0
39.0,19.0,44.41,843.79,6.0,5.0,Basic,Bank Transfer,South,0
64.0,50.0,105.51,5275.5,7.0,3.0,Premium,Cash,West,0
18.0,26.0,32.35,841.1,11.0,1.0,Basic,Cash,East,0
34.0,16.0,106.72,1707.52,13.0,4.0,Premium,Bank Transfer,East,1
39.0,4.0,101.54,406.16,8.0,1.0,Premium,Prepaid,West,0
54.0,24.0,58.46,1403.04,11.0,3.0,Standard,Cash,East,1
39.0,36.0,81.23,2924.28,0.0,5.0,Standard,Bank Transfer,West,0
34.0,20.0,71.48,1429.6,10.0,2.0,Standard,Prepaid,East,0
22.0,51.0,23.55,1201.05,,1.0,Basic,Cash,North,0
31.0,31.0,39.59,1227.29,7.0,1.0,Basic,Cash,South,0
23.0,23.0,44.15,1015.45,13.0,5.0,Basic,Cash,West,1
54.0,15.0,25.46,381.9,12.0,1.0,Basic,Prepaid,North,1
40.0,29.0,56.93,1650.97,2.0,2.0,Standard,Prepaid,North,0
29.0,43.0,33.75,1451.25,10.0,3.0,Basic,Prepaid,East,0
46.0,43.0,92.34,3970.62,6.0,4.0,Standard,Cash,South,0
43.0,46.0,62.41,2870.86,11.0,4.0,Standard,Prepaid,North,0
42.0,27.0,43.33,1169.91,2.0,4.0,Basic,Credit Card,North,0
48.0,16.0,69.38,1110.08,0.0,1.0,Standard,Prepaid,West,1
50.0,71.0,81.37,5777.27,4.0,5.0,Standard,Prepaid,West,0
27.0,55.0,80.3,4416.5,5.0,3.0,Standard,Bank Transfer,West,0
26.0,64.0,105.02,6721.28,14.0,4.0,Premium,Credit Card,West,0
56.0,47.0,22.87,1074.89,9.0,4.0,Basic,Credit Card,North,0
68.0,58.0,57.89,3357.62,14.0,1.0,Standard,Bank Transfer,East,0
46.0,68.0,26.96,1833.28,1.0,1.0,Basic,Credit Card,North,0
41.0,22.0,36.76,808.72,1.0,1.0,Basic,Cash,North,0
50.0,62.0,69.4,4302.8,7.0,4.0,Standard,Credit Card,West,1
19.0,41.0,25.57,1048.37,7.0,5.0,Basic,Credit Card,North,0
37.0,68.0,29.69,2018.92,8.0,2.0,Basic,Bank Transfer,West,0
36.0,67.0,77.33,5181.11,6.0,1.0,Standard,Bank Transfer,West,0
39.0,66.0,102.39,6757.74,3.0,4.0,Premium,Credit Card,West,0
56.0,66.0,81.3,5365.8,8.0,5.0,Standard,Bank Transfer,West,0
43.0,65.0,100.01,6500.65,4.0,4.0,Premium,Credit Card,West,0
62.0,48.0,99.07,4755.36,0.0,5.0,Standard,Credit Card,West,0
42.0,70.0,23.41,1638.7,10.0,4.0,Basic,Credit Card,South,0
19.0,65.0,34.3,2229.5,6.0,3.0,Basic,Cash,North,0
53.0,68.0,,,1.0,1.0,Basic,Cash,South,0
59.0,37.0,29.19,1080.03,,3.0,Basic,Credit Card,North,0
48.0,25.0,33.27,831.75,0.0,5.0,Basic,Cash,North,0
66.0,12.0,124.12,1489.44,5.0,4.0,Premium,Cash,South,0
39.0,9.0,35.62,320.58,13.0,2.0,Basic,Bank Transfer,South,1
59.0,48.0,32.0,1536.0,5.0,5.0,Basic,Bank Transfer,East,0
18.0,66.0,102.19,6744.54,10.0,2.0,Premium,Cash,West,0
20.0,47.0,70.1,3294.7,,1.0,Premium,Credit Card,East,0
59.0,22.0,48.37,1064.14,8.0,5.0,Basic,Credit Card,West,0
63.0,13.0,77.03,1001.39,8.0,5.0,Standard,Bank Transfer,North,1
45.0,62.0,103.74,6431.88,11.0,2.0,Premium,Cash,East,0
57.0,2.0,31.93,63.86,4.0,3.0,Basic,Credit Card,West,1
34.0,71.0,35.56,2524.76,4.0,5.0,Basic,Credit Card,South,0
55.0,12.0,60.24,722.88,2.0,1.0,Standard,Bank Transfer,East,0
43.0,44.0,65.88,2898.72,10.0,2.0,Standard,Bank Transfer,North,0
33.0,60.0,112.02,6721.2,3.0,1.0,Premium,Prepaid,West,0
22.0,20.0,40.18,803.6,8.0,5.0,Basic,Bank Transfer,West,0
27.0,4.0,23.08,92.32,13.0,1.0,Basic,Cash,East,1
65.0,47.0,104.97,4933.59,4.0,2.0,Premium,Credit Card,North,0
41.0,64.0,38.34,2453.76,0.0,5.0,Basic,Credit Card,North,0
69.0,60.0,96.03,5761.8,4.0,5.0,Standard,Prepaid,South,0
36.0,30.0,119.31,3579.3,10.0,4.0,Premium,Cash,South,1
21.0,12.0,71.28,855.36,7.0,1.0,Standard,Prepaid,South,1
31.0,13.0,72.55,943.15,4.0,5.0,Standard,Credit Card,West,0
36.0,63.0,29.34,1848.42,1.0,3.0,Basic,Prepaid,East,0
54.0,38.0,47.82,1817.16,2.0,1.0,Basic,Bank Transfer,West,0
55.0,51.0,,,10.0,4.0,Basic,Credit Card,North,0
56.0,58.0,,,,3.0,Standard,Bank Transfer,East,0
34.0,66.0,15.06,993.96,13.0,2.0,Basic,Cash,North,0
37.0,20.0,49.45,989.0,0.0,1.0,Basic,Bank Transfer,North,0
47.0,24.0,63.64,1527.36,13.0,1.0,Standard,Bank Transfer,West,0
49.0,43.0,113.04,4860.72,2.0,5.0,Premium,Prepaid,West,0
39.0,65.0,69.37,4509.05,8.0,2.0,Standard,Credit Card,West,1
27.0,60.0,75.42,4525.2,12.0,3.0,Standard,Bank Transfer,West,0
58.0,13.0,74.41,967.33,3.0,3.0,Standard,Credit Card,North,0
45.0,63.0,33.19,2090.97,5.0,3.0,Basic,Cash,West,0
67.0,52.0,84.11,4373.72,0.0,1.0,Standard,Bank Transfer,West,0
67.0,59.0,34.02,2007.18,8.0,4.0,Basic,Prepaid,West,0
64.0,67.0,46.54,3118.18,8.0,1.0,Basic,Bank Transfer,North,0
67.0,3.0,119.4,358.2,5.0,3.0,Premium,Bank Transfer,West,0
50.0,39.0,48.64,1896.96,3.0,3.0,Basic,Prepaid,West,0
33.0,2.0,38.45,76.9,0.0,1.0,Basic,Cash,East,0
26.0,10.0,31.54,315.4,4.0,3.0,Basic,Credit Card,East,0
23.0,23.0,37.41,860.43,0.0,1.0,Basic,Prepaid,East,0
67.0,69.0,120.12,8288.28,9.0,4.0,Premium,Credit Card,South,1
32.0,46.0,120.19,5528.74,8.0,4.0,Premium,Bank Transfer,West,0
19.0,42.0,61.73,2592.66,1.0,2.0,Standard,Credit Card,North,0
19.0,6.0,42.91,257.46,3.0,4.0,Basic,Bank Transfer,South,0
33.0,19.0,125.38,2382.22,9.0,3.0,Premium,Credit Card,South,1
68.0,1.0,69.53,69.53,,2.0,Standard,Cash,East,1
32.0,66.0,55.37,3654.42,11.0,4.0,Basic,Prepaid,South,1
23.0,29.0,78.39,2273.31,14.0,1.0,Standard,Cash,South,0
52.0,59.0,21.66,1277.94,0.0,4.0,Basic,Credit Card,West,0
21.0,3.0,17.79,53.37,7.0,2.0,Basic,Bank Transfer,West,1
43.0,67.0,34.56,2315.52,8.0,4.0,Basic,Bank Transfer,South,0
22.0,38.0,47.46,1803.48,1.0,2.0,Standard,Credit Card,East,0
22.0,46.0,59.55,2739.3,10.0,1.0,Standard,Cash,South,0
36.0,52.0,110.79,5761.08,4.0,5.0,Premium,Prepaid,West,0
18.0,15.0,30.36,455.4,6.0,4.0,Basic,Credit Card,East,0
62.0,34.0,39.86,1355.24,2.0,4.0,Basic,Cash,North,0
49.0,43.0,126.5,5439.5,4.0,1.0,Premium,Bank Transfer,South,0
66.0,57.0,82.76,4717.32,0.0,3.0,Standard,Bank Transfer,South,0
43.0,36.0,58.48,2105.28,2.0,2.0,Standard,Prepaid,East,0
46.0,42.0,23.58,990.36,4.0,1.0,Basic,Bank Transfer,North,0
49.0,36.0,62.9,2264.4,14.0,3.0,Standard,Bank Transfer,East,0
42.0,22.0,,,,3.0,Standard,Cash,North,0
47.0,1.0,75.85,75.85,6.0,1.0,Standard,Prepaid,South,1
47.0,57.0,33.82,1927.74,9.0,5.0,Basic,Bank Transfer,North,0
64.0,18.0,70.92,1276.56,2.0,1.0,Standard,Cash,South,0
33.0,28.0,66.41,1859.48,13.0,3.0,Standard,Credit Card,East,1
65.0,19.0,60.44,1148.36,0.0,1.0,Standard,Prepaid,East,0
26.0,50.0,105.13,5256.5,3.0,5.0,Premium,Bank Transfer,West,0
27.0,6.0,30.23,181.38,3.0,2.0,Basic,Credit Card,South,0
31.0,33.0,54.84,1809.72,9.0,5.0,Standard,Prepaid,North,0
66.0,27.0,77.06,2080.62,12.0,4.0,Standard,Cash,South,1
30.0,43.0,72.31,3109.33,8.0,1.0,Standard,Cash,West,1
58.0,32.0,37.62,1203.84,,2.0,Basic,Cash,West,0
48.0,15.0,79.19,1187.85,1.0,5.0,Standard,Cash,North,0
51.0,49.0,47.42,2323.58,10.0,3.0,Basic,Credit Card,North,0
22.0,56.0,42.59,2385.04,14.0,2.0,Standard,Prepaid,East,0
52.0,37.0,34.24,1266.88,13.0,5.0,Basic,Credit Card,North,1
21.0,51.0,91.21,4651.71,13.0,4.0,Premium,Credit Card,East,0
46.0,32.0,39.59,1266.88,5.0,1.0,Basic,Credit Card,South,0
58.0,39.0,107.44,4190.16,14.0,3.0,Premium,Prepaid,North,1
65.0,10.0,68.92,689.2,7.0,2.0,Standard,Credit Card,East,1
69.0,42.0,65.68,2758.56,14.0,5.0,Standard,Credit Card,East,0
30.0,16.0,62.16,994.56,2.0,3.0,Standard,Bank Transfer,North,0
57.0,62.0,88.23,5470.26,4.0,5.0,Standard,Bank Transfer,West,0
49.0,23.0,88.25,2029.75,3.0,1.0,Standard,Cash,South,0
56.0,12.0,88.22,1058.64,8.0,1.0,Standard,Cash,South,0
60.0,10.0,51.33,513.3,5.0,4.0,Basic,Cash,East,0
42.0,1.0,31.71,31.71,7.0,4.0,Basic,Prepaid,North,0
25.0,18.0,37.32,671.76,10.0,1.0,Basic,Credit Card,North,1
59.0,17.0,117.81,2002.77,5.0,1.0,Premium,Prepaid,South,1
50.0,29.0,34.08,988.32,7.0,5.0,Basic,Bank Transfer,East,0
24.0,1.0,88.24,88.24,11.0,2.0,Standard,Bank Transfer,North,0
38.0,16.0,27.33,437.28,12.0,5.0,Basic,Credit Card,South,1
25.0,63.0,104.52,6584.76,9.0,4.0,Premium,Bank Transfer,North,0
57.0,18.0,97.85,1761.3,11.0,2.0,Premium,Prepaid,East,0
35.0,65.0,70.01,4550.65,13.0,3.0,Standard,Bank Transfer,East,0
21.0,56.0,114.03,6385.68,8.0,3.0,Premium,Bank Transfer,West,0
32.0,5.0,28.85,144.25,0.0,5.0,Basic,Prepaid,West,0
49.0,26.0,42.53,1105.78,6.0,4.0,Basic,Prepaid,West,1
48.0,2.0,107.92,215.84,14.0,4.0,Premium,Credit Card,North,1
62.0,27.0,49.94,1348.38,8.0,3.0,Basic,Bank Transfer,East,0
36.0,29.0,76.68,2223.72,13.0,4.0,Standard,Credit Card,North,0
50.0,56.0,128.79,7212.24,6.0,5.0,Premium,Credit Card,South,0
67.0,25.0,37.99,949.75,11.0,3.0,Basic,Credit Card,West,1
34.0,55.0,86.07,4733.85,7.0,5.0,Standard,Prepaid,South,0
19.0,37.0,53.44,1977.28,2.0,3.0,Standard,Cash,East,0
52.0,51.0,78.42,3999.42,4.0,5.0,Standard,Credit Card,West,0
49.0,23.0,89.0,2047.0,,5.0,Standard,Credit Card,West,0
35.0,41.0,29.09,1192.69,2.0,3.0,Basic,Bank Transfer,South,0
47.0,2.0,27.3,54.6,2.0,4.0,Basic,Bank Transfer,North,0
52.0,4.0,68.09,272.36,14.0,3.0,Standard,Bank Transfer,West,1
60.0,53.0,126.07,6681.71,9.0,5.0,Premium,Credit Card,South,0
24.0,61.0,83.58,5098.38,0.0,1.0,Premium,Prepaid,East,0
42.0,5.0,41.64,208.2,0.0,4.0,Basic,Credit Card,West,1
32.0,45.0,37.0,1665.0,0.0,5.0,Basic,Credit Card,East,0
35.0,8.0,69.77,558.16,3.0,2.0,Standard,Cash,West,1
19.0,67.0,58.38,3911.46,1.0,3.0,Standard,Credit Card,East,0
39.0,4.0,75.37,301.48,12.0,5.0,Standard,Credit Card,South,1
22.0,13.0,39.99,519.87,5.0,4.0,Basic,Credit Card,South,0
66.0,59.0,118.79,7008.61,8.0,4.0,Premium,Bank Transfer,South,0
46.0,8.0,38.56,308.48,7.0,2.0,Basic,Credit Card,South,0
39.0,11.0,30.35,333.85,7.0,1.0,Basic,Bank Transfer,North,0
30.0,64.0,55.81,3571.84,4.0,5.0,Standard,Bank Transfer,East,0
66.0,5.0,24.99,124.95,8.0,1.0,Basic,Bank Transfer,East,0
44.0,22.0,98.84,2174.48,,3.0,Standard,Credit Card,North,0
69.0,62.0,80.72,5004.64,2.0,5.0,Standard,Bank Transfer,East,0
52.0,69.0,115.96,8001.24,5.0,3.0,Premium,Cash,West,0
69.0,9.0,71.44,642.96,10.0,4.0,Standard,Prepaid,North,1
63.0,54.0,111.65,6029.1,1.0,3.0,Premium,Credit Card,North,0
56.0,67.0,43.3,2901.1,0.0,2.0,Basic,Cash,West,1
36.0,16.0,60.83,973.28,6.0,1.0,Standard,Cash,East,1
58.0,37.0,25.31,936.47,1.0,2.0,Basic,Prepaid,East,1
34.0,45.0,61.73,2777.85,6.0,4.0,Standard,Cash,East,0
62.0,25.0,78.02,1950.5,11.0,4.0,Standard,Bank Transfer,North,1
34.0,24.0,30.79,738.96,7.0,2.0,Basic,Bank Transfer,South,0
22.0,26.0,66.76,1735.76,3.0,2.0,Standard,Bank Transfer,East,0
24.0,59.0,21.75,1283.25,4.0,3.0,Basic,Prepaid,South,0
41.0,1.0,84.22,84.22,14.0,4.0,Premium,Credit Card,East,1
52.0,46.0,40.11,1845.06,6.0,4.0,Basic,Prepaid,East,0
33.0,37.0,31.99,1183.63,5.0,3.0,Basic,Bank Transfer,South,0
60.0,52.0,36.69,1907.88,5.0,2.0,Basic,Bank Transfer,South,0
31.0,52.0,14.36,746.72,13.0,3.0,Basic,Prepaid,East,0
42.0,20.0,31.42,628.4,2.0,1.0,Basic,Prepaid,East,0
35.0,32.0,76.1,2435.2,12.0,5.0,Standard,Credit Card,North,0
47.0,1.0,52.32,52.32,5.0,3.0,Basic,Bank Transfer,North,0
27.0,34.0,50.21,1707.14,7.0,1.0,Standard,Credit Card,North,0
67.0,29.0,33.45,970.05,9.0,3.0,Basic,Prepaid,North,0
66.0,58.0,91.9,5330.2,8.0,3.0,Standard,Bank Transfer,West,0
54.0,51.0,120.53,6147.03,14.0,2.0,Premium,Prepaid,South,1
45.0,26.0,65.81,1711.06,,4.0,Standard,Bank Transfer,East,0
56.0,65.0,118.03,7671.95,7.0,4.0,Premium,Bank Transfer,West,0
42.0,36.0,,,,1.0,Basic,Cash,North,0
64.0,22.0,125.85,2768.7,7.0,5.0,Premium,Credit Card,South,0
21.0,45.0,25.8,1161.0,6.0,2.0,Basic,Prepaid,East,0
29.0,33.0,115.11,3798.63,4.0,4.0,Premium,Bank Transfer,North,0
41.0,69.0,119.43,8240.67,3.0,4.0,Premium,Bank Transfer,South,0
51.0,63.0,109.95,6926.85,6.0,4.0,Premium,Cash,North,0
54.0,0.0,40.08,0.0,9.0,5.0,Basic,Bank Transfer,North,0
55.0,18.0,33.33,599.94,13.0,3.0,Basic,Cash,North,1
66.0,29.0,60.31,1748.99,6.0,3.0,Standard,Prepaid,East,1
61.0,49.0,43.46,2129.54,2.0,5.0,Basic,Bank Transfer,West,0
65.0,44.0,80.89,3559.16,3.0,5.0,Standard,Credit Card,West,0
35.0,63.0,40.77,2568.51,6.0,5.0,Basic,Credit Card,West,0
54.0,11.0,,,14.0,3.0,Basic,Cash,West,1
53.0,45.0,38.29,1723.05,14.0,3.0,Basic,Cash,South,0
49.0,65.0,46.08,2995.2,8.0,5.0,Basic,Credit Card,South,0
49.0,8.0,39.05,312.4,10.0,4.0,Basic,Bank Transfer,North,1
45.0,48.0,25.26,1212.48,3.0,3.0,Basic,Bank Transfer,East,0
39.0,46.0,44.13,2029.98,9.0,1.0,Basic,Bank Transfer,North,0
25.0,2.0,41.79,83.58,14.0,4.0,Basic,Bank Transfer,North,1
23.0,2.0,62.02,124.04,8.0,4.0,Standard,Prepaid,North,1
18.0,3.0,57.91,173.73,2.0,2.0,Standard,Credit Card,East,1
36.0,20.0,62.91,1258.2,0.0,4.0,Standard,Bank Transfer,West,0
37.0,49.0,74.4,3645.6,2.0,5.0,Standard,Credit Card,West,0
68.0,63.0,73.17,4609.71,8.0,4.0,Standard,Bank Transfer,North,1
30.0,49.0,116.84,5725.16,10.0,5.0,Premium,Prepaid,West,0
29.0,51.0,69.5,3544.5,5.0,5.0,Standard,Bank Transfer,South,0
20.0,28.0,66.0,1848.0,5.0,2.0,Standard,Credit Card,South,0
23.0,15.0,96.1,1441.5,2.0,5.0,Premium,Cash,North,0
52.0,40.0,67.32,2692.8,4.0,5.0,Standard,Credit Card,West,0
37.0,49.0,30.88,1513.12,6.0,1.0,Basic,Credit Card,South,0
50.0,62.0,67.89,4209.18,0.0,3.0,Standard,Credit Card,East,0
23.0,41.0,76.27,3127.07,7.0,3.0,Standard,Credit Card,West,0
57.0,70.0,114.28,7999.6,12.0,2.0,Premium,Credit Card,South,0
31.0,58.0,79.07,4586.06,10.0,3.0,Standard,Prepaid,South,0
21.0,68.0,25.83,1756.44,3.0,1.0,Basic,Bank Transfer,East,0
65.0,48.0,30.21,1450.08,9.0,1.0,Basic,Cash,South,0
36.0,17.0,87.32,1484.44,10.0,3.0,Standard,Bank Transfer,South,0
34.0,59.0,22.38,1320.42,3.0,5.0,Basic,Bank Transfer,East,0
20.0,45.0,76.76,3454.2,5.0,3.0,Standard,Cash,North,0
48.0,52.0,87.54,4552.08,9.0,5.0,Premium,Bank Transfer,East,0
32.0,20.0,108.26,2165.2,3.0,3.0,Premium,Credit Card,North,0
30.0,5.0,23.34,116.7,7.0,2.0,Basic,Cash,North,1
53.0,69.0,68.42,4720.98,4.0,2.0,Standard,Credit Card,North,0
52.0,34.0,66.39,2257.26,6.0,1.0,Standard,Bank Transfer,North,0
25.0,42.0,31.21,1310.82,3.0,5.0,Basic,Prepaid,North,1
24.0,4.0,68.93,275.72,,5.0,Standard,Bank Transfer,East,1
30.0,62.0,,,6.0,4.0,Standard,Prepaid,North,0
59.0,20.0,,,6.0,3.0,Basic,Credit Card,East,0
31.0,0.0,23.62,0.0,8.0,3.0,Basic,Cash,East,0
39.0,20.0,52.03,1040.6,9.0,2.0,Standard,Bank Transfer,North,0
24.0,11.0,43.41,477.51,4.0,5.0,Basic,Prepaid,North,0
27.0,33.0,,,13.0,1.0,Premium,Prepaid,East,0
52.0,47.0,61.23,2877.81,10.0,1.0,Standard,Credit Card,East,0
57.0,23.0,118.81,2732.63,8.0,5.0,Premium,Credit Card,North,0
63.0,12.0,66.69,800.28,7.0,2.0,Standard,Bank Transfer,East,0
46.0,16.0,59.87,957.92,9.0,1.0,Standard,Credit Card,North,0
32.0,11.0,81.06,891.66,0.0,1.0,Standard,Bank Transfer,South,1
40.0,61.0,41.27,2517.47,4.0,4.0,Basic,Bank Transfer,East,0
26.0,37.0,108.84,4027.08,1.0,4.0,Premium,Bank Transfer,South,0
30.0,3.0,26.58,79.74,4.0,1.0,Basic,Bank Transfer,East,0
43.0,30.0,67.63,2028.9,5.0,5.0,Standard,Bank Transfer,West,0
58.0,33.0,92.06,3037.98,1.0,2.0,Standard,Bank Transfer,South,0
31.0,51.0,106.16,5414.16,3.0,3.0,Premium,Prepaid,East,0
36.0,46.0,76.86,3535.56,9.0,4.0,Standard,Prepaid,North,0
19.0,51.0,61.74,3148.74,12.0,2.0,Standard,Bank Transfer,East,0
20.0,13.0,39.58,514.54,4.0,4.0,Basic,Cash,South,0
46.0,1.0,27.67,27.67,5.0,1.0,Basic,Bank Transfer,South,0
68.0,32.0,68.71,2198.72,3.0,2.0,Standard,Bank Transfer,East,0
47.0,23.0,46.21,1062.83,7.0,4.0,Basic,Bank Transfer,North,0
19.0,24.0,,,14.0,2.0,Basic,Credit Card,North,1
47.0,65.0,67.77,4405.05,6.0,3.0,Standard,Bank Transfer,East,0
24.0,62.0,67.97,4214.14,5.0,2.0,Standard,Bank Transfer,West,0
53.0,56.0,71.07,3979.92,13.0,3.0,Standard,Credit Card,South,0
42.0,3.0,33.38,100.14,3.0,3.0,Basic,Bank Transfer,East,0
36.0,14.0,114.88,1608.32,11.0,2.0,Premium,Credit Card,East,1
28.0,4.0,20.91,83.64,4.0,3.0,Basic,Bank Transfer,East,0
27.0,19.0,31.26,593.94,7.0,4.0,Basic,Cash,South,1
35.0,33.0,70.28,2319.24,9.0,4.0,Standard,Bank Transfer,South,1
41.0,21.0,73.64,1546.44,9.0,5.0,Standard,Prepaid,West,1
47.0,50.0,48.72,2436.0,7.0,1.0,Basic,Bank Transfer,South,0
53.0,6.0,66.21,397.26,5.0,3.0,Standard,Cash,East,0
67.0,62.0,51.34,3183.08,8.0,4.0,Basic,Credit Card,North,0
19.0,8.0,27.03,216.24,4.0,1.0,Basic,Cash,North,0
66.0,36.0,61.85,2226.6,4.0,1.0,Standard,Prepaid,East,0
47.0,43.0,85.38,3671.34,14.0,3.0,Standard,Credit Card,North,1
21.0,69.0,79.2,5464.8,14.0,2.0,Standard,Prepaid,West,0
63.0,1.0,107.18,107.18,14.0,5.0,Premium,Prepaid,West,1
62.0,48.0,42.35,2032.8,4.0,1.0,Basic,Prepaid,North,1
32.0,61.0,28.5,1738.5,6.0,2.0,Basic,Bank Transfer,West,0
26.0,68.0,55.46,3771.28,1.0,1.0,Standard,Credit Card,North,0
33.0,56.0,73.6,4121.6,1.0,2.0,Standard,Bank Transfer,West,0
60.0,61.0,27.76,1693.36,,3.0,Basic,Bank Transfer,North,0
65.0,0.0,44.81,0.0,12.0,2.0,Basic,Credit Card,South,1
